Angle,Light Sensor
0,7
1,5
2,9
3,11
4,14
5,16
6,19
7,22
8,30
9,33
10,35
11,40
12,41
13,43
14,45
15,47
16,52
17,54
18,55
19,56
20,57
21,59
22,61
23,61
24,62
25,62
26,64
27,65
28,65
29,65
30,65
31,66
32,68
33,67
34,69
35,69
36,70
37,69
38,69
39,68
40,72
41,72
42,72
43,72
44,73
45,73
46,73
47,73
48,74
49,73
50,73
51,75
52,75
53,74
54,74
55,75
56,76
57,76
58,75
59,76
60,75
61,77
62,76
63,76
64,76
65,75
66,75
67,77
68,76
69,75
70,77
71,75
72,78
73,77
74,75
75,78
76,78
77,78
78,77
79,78
80,76
81,77
82,78
83,77
84,78
85,78
86,77
87,78
88,78
89,79
90,77
91,79
92,76
93,76
94,78
95,77
96,78
97,77
98,77
99,78
100,79
101,76
102,77
103,76
104,77
105,76
106,77
107,76
108,77
109,77
110,76
111,76
112,76
113,76
114,76
115,75
116,76
117,76
118,74
119,73
120,75
121,74
122,76
123,74
124,75
125,74
126,73
127,74
128,73
129,73
130,74
131,74
132,73
133,73
134,72
135,72
136,71
137,72
138,70
139,70
140,70
141,69
142,67
143,66
144,68
145,67
146,67
147,64
148,64
149,64
150,65
151,64
152,64
153,61
154,61
155,60
156,59
157,59
158,56
159,52
160,53
161,51
162,48
163,49
164,43
165,40
166,38
167,34
168,30
169,30
170,27
171,20
172,15
173,11
174,8
175,8
176,5
177,5
178,10
179,17
180,22
181,24
182,26
183,29
184,35
185,39
186,42
187,45
188,45
189,48
190,50
191,51
192,53
193,54
194,56
195,57
196,62
197,61
198,61
199,63
200,64
201,64
202,65
203,66
204,67
205,66
206,67
207,68
208,69
209,68
210,70
211,70
212,71
213,71
214,71
215,72
216,72
217,72
218,73
219,72
220,73
221,72
222,73
223,75
224,74
225,74
226,75
227,74
228,73
229,74
230,73
231,75
232,76
233,75
234,76
235,76
236,75
237,75
238,76
239,75
240,76
241,75
242,77
243,76
244,77
245,77
246,78
247,76
248,78
249,78
250,78
251,77
252,78
253,78
254,77
255,78
256,77
257,78
258,77
259,78
260,76
261,79
262,79
263,78
264,78
265,78
266,77
267,78
268,78
269,77
270,79
271,77
272,79
273,78
274,78
275,78
276,78
277,77
278,76
279,78
280,76
281,77
282,76
283,77
284,78
285,78
286,78
287,77
288,76
289,77
290,77
291,77
292,77
293,77
294,77
295,76
296,77
297,75
298,76
299,76
300,76
301,76
302,74
303,75
304,74
305,74
306,75
307,74
308,74
309,75
310,74
311,74
312,74
313,73
314,73
315,74
316,72
317,72
318,70
319,72
320,71
321,72
322,71
323,70
324,69
325,70
326,71
327,69
328,69
329,68
330,68
331,68
332,67
333,65
334,64
335,64
336,63
337,63
338,62
339,60
340,59
341,59
342,57
343,56
344,51
345,49
346,50
347,48
348,47
349,44
350,41
351,40
352,38
353,34
354,29
355,24
356,21
357,18
358,15
359,10
360,7
361,6
362,8
363,12
364,14
365,15
366,17
367,26
368,30
369,34
370,36
371,39
372,42
373,43
374,43
375,46
376,52
377,52
378,55
379,55
380,58
381,58
382,59
383,62
384,62
385,63
386,64
387,64
388,64
389,66
390,65
391,66
392,66
393,66
394,68
395,69
396,65
397,69
398,70
399,69
400,71
401,69
402,71
403,72
404,72
405,73
406,73
407,74
408,74
409,75
410,75
411,74
412,75
413,75
414,74
415,75
416,76
417,75
418,74
419,76
420,77
421,76
422,76
423,76
424,76
425,76
426,77
427,77
428,75
429,76
430,77
431,77
432,77
433,77
434,77
435,77
436,79
437,77
438,76
439,78
440,76
441,76
442,77
443,78
444,78
445,77
446,77
447,78
448,77
449,78
450,76
451,78
452,74
453,78
454,76
455,78
456,76
457,78
458,78
459,77
460,77
461,76
462,78
463,77
464,77
465,75
466,77
467,76
468,77
469,75
470,76
471,76
472,76
473,77
474,76
475,75
476,75
477,75
478,76
479,76
480,75
481,75
482,75
483,74
484,73
485,75
486,74
487,73
488,73
489,74
490,73
491,74
492,72
493,71
494,72
495,72
496,71
497,71
498,70
499,70
500,69
501,68
502,67
503,68
504,68
505,66
506,66
507,67
508,65
509,64
510,65
511,63
512,62
513,61
514,60
515,60
516,58
517,57
518,56
519,54
520,51
521,49
522,51
523,48
524,42
525,40
526,37
527,35
528,31
529,28
530,27
531,20
532,15
533,11
534,10
535,7
536,5
537,7
538,9
539,18
540,21
541,24
542,25
543,30
544,36
545,38
546,41
547,44
548,46
549,47
550,50
551,50
552,54
553,54
554,57
555,58
556,61
557,62
558,62
559,62
560,64
561,65
562,65
563,65
564,66
565,66
566,68
567,69
568,68
569,69
570,70
571,70
572,69
573,71
574,71
575,72
576,70
577,71
578,72
579,72
580,72
581,73
582,74
583,74
584,74
585,74
586,75
587,74
588,75
589,75
590,75
591,74
592,74
593,75
594,75
595,77
596,76
597,75
598,75
599,76
600,75
601,76
602,76
603,75
604,76
605,77
606,77
607,78
608,76
609,78
610,78
611,78
612,77
613,77
614,78
615,77
616,76
617,77
618,77
619,79
620,77
621,79
622,78
623,77
624,75
625,79
626,77
627,78
628,78
629,79
630,78
631,78
632,79
633,78
634,77
635,78
636,77
637,77
638,76
639,76
640,77
641,78
642,76
643,78
644,76
645,77
646,78
647,76
648,76
649,78
650,77
651,77
652,76
653,77
654,76
655,77
656,75
657,76
658,75
659,75
660,75
661,76
662,75
663,76
664,75
665,74
666,75
667,75
668,75
669,75
670,73
671,75
672,74
673,73
674,74
675,72
676,73
677,73
678,72
679,72
680,72
681,72
682,70
683,71
684,69
685,70
686,70
687,69
688,69
689,67
690,68
691,68
692,65
693,66
694,65
695,64
696,62
697,62
698,61
699,60
700,60
701,58
702,58
703,55
704,54
705,51
706,49
707,48
708,46
709,44
710,42
711,38
712,37
713,31
714,30
715,27
716,21
717,20
718,16
719,12
720,8
721,6
722,9
723,10
724,14
725,15
726,19
727,25
728,31
729,34
730,36
731,40
732,42
733,44
734,46
735,47
736,52
737,54
738,53
739,55
740,58
741,59
742,61
743,61
744,60
745,65
746,64
747,64
748,66
749,65
750,67
751,67
752,68
753,69
754,67
755,69
756,70
757,69
758,69
759,69
760,72
761,69
762,72
763,74
764,72
765,71
766,74
767,73
768,74
769,72
770,74
771,75
772,74
773,74
774,75
775,74
776,76
777,76
778,75
779,76
780,76
781,74
782,76
783,76
784,75
785,76
786,76
787,77
788,76
789,76
790,77
791,77
792,75
793,77
794,77
795,76
796,76
797,75
798,77
799,76
800,77
801,76
802,78
803,80
804,78
805,79
806,76
807,76
808,77
809,77
810,75
811,78
812,79
813,78
814,78
815,79
816,78
817,78
818,77
819,76
820,78
821,77
822,78
823,76
824,78
825,78
826,78
827,76
828,77
829,77
830,77
831,77
832,77
833,78
834,77
835,77
836,77
837,77
838,77
839,77
840,76
841,76
842,76
843,75
844,75
845,75
846,76
847,75
848,76
849,75
850,74
851,75
852,75
853,75
854,74
855,73
856,74
857,74
858,73
859,73
860,73
861,74
862,73
863,72
864,72
865,72
866,72
867,71
868,71
869,71
870,71
871,70
872,70
873,70
874,68
875,67
876,68
877,65
878,66
879,65
880,64
881,63
882,63
883,60
884,59
885,58
886,58
887,59
888,56
889,52
890,51
891,50
892,49
893,47
894,44
895,42
896,39
897,37
898,34
899,28
900,26
901,23
902,20
903,19
904,15
905,12
906,10
