LightValue,time
961,100.1
961,100.2
960,100.3
960,100.4
960,100.5
960,100.6
961,100.7
960,100.8
961,100.9
960,101.0
961,101.1
960,101.2
960,101.3
960,101.4
960,101.5
960,101.6
960,101.7
960,101.8
959,101.9
959,102.0
960,102.1
960,102.2
960,102.3
960,102.4
960,102.5
959,102.6
959,102.7
960,102.8
960,102.9
960,103.0
960,103.1
960,103.2
959,103.3
959,103.4
960,103.5
959,103.6
959,103.7
960,103.8
959,103.9
959,104.0
960,104.1
960,104.2
960,104.3
960,104.4
959,104.5
959,104.6
959,104.7
959,104.8
959,104.9
960,105.0
959,105.1
959,105.2
959,105.3
959,105.4
959,105.5
960,105.6
959,105.7
960,105.8
959,105.9
959,106.0
959,106.1
959,106.2
959,106.3
960,106.4
959,106.5
960,106.6
959,106.7
959,106.8
960,106.9
960,107.0
960,107.1
959,107.2
959,107.3
959,107.4
959,107.5
960,107.6
959,107.7
960,107.8
959,107.9
959,108.0
959,108.1
959,108.2
959,108.3
960,108.4
960,108.5
959,108.6
959,108.7
960,108.8
959,108.9
960,109.0
960,109.1
960,109.2
959,109.3
960,109.4
959,109.5
959,109.6
959,109.7
960,109.8
959,109.9
959,110.0
959,110.1
959,110.2
959,110.3
959,110.4
959,110.5
959,110.6
959,110.7
958,110.8
958,110.9
958,111.0
959,111.1
959,111.2
959,111.3
958,111.4
958,111.5
958,111.6
958,111.7
958,111.8
958,111.9
958,112.0
958,112.1
958,112.2
957,112.3
958,112.4
958,112.5
958,112.6
958,112.7
957,112.8
957,112.9
956,113.0
957,113.1
957,113.2
958,113.3
957,113.4
957,113.5
956,113.6
956,113.7
956,113.8
956,113.9
956,114.0
956,114.1
956,114.2
955,114.3
955,114.4
955,114.5
955,114.6
955,114.7
955,114.8
955,114.9
955,115.0
955,115.1
954,115.2
954,115.3
955,115.4
954,115.5
954,115.6
954,115.7
954,115.8
954,115.9
955,116.0
954,116.1
953,116.2
953,116.3
953,116.4
953,116.5
953,116.6
953,116.7
953,116.8
953,116.9
952,117.0
952,117.1
952,117.2
952,117.3
952,117.4
952,117.5
952,117.6
952,117.7
951,117.8
951,117.9
952,118.0
952,118.1
951,118.2
951,118.3
951,118.4
951,118.5
951,118.6
952,118.7
951,118.8
951,118.9
951,119.0
951,119.1
950,119.2
951,119.3
951,119.4
951,119.5
951,119.6
950,119.7
950,119.8
951,119.9
950,120.0
951,120.1
951,120.2
951,120.3
950,120.4
950,120.5
950,120.6
950,120.7
951,120.8
950,120.9
950,121.0
951,121.1
950,121.2
950,121.3
951,121.4
951,121.5
951,121.6
951,121.7
952,121.8
951,121.9
951,122.0
951,122.1
952,122.2
952,122.3
952,122.4
952,122.5
952,122.6
952,122.7
952,122.8
953,122.9
953,123.0
952,123.1
953,123.2
953,123.3
953,123.4
954,123.5
953,123.6
954,123.7
954,123.8
954,123.9
954,124.0
954,124.1
954,124.2
955,124.3
955,124.4
954,124.5
955,124.6
954,124.7
954,124.8
955,124.9
955,125.0
955,125.1
955,125.2
955,125.3
955,125.4
955,125.5
956,125.6
956,125.7
956,125.8
956,125.9
956,126.0
956,126.1
956,126.2
956,126.3
957,126.4
956,126.5
956,126.6
957,126.7
956,126.8
956,126.9
957,127.0
957,127.1
956,127.2
957,127.3
957,127.4
956,127.5
957,127.6
957,127.7
957,127.8
956,127.9
957,128.0
956,128.1
957,128.2
957,128.3
957,128.4
957,128.5
957,128.6
957,128.7
957,128.8
957,128.9
958,129.0
958,129.1
958,129.2
957,129.3
957,129.4
957,129.5
957,129.6
957,129.7
958,129.8
958,129.9
957,130.0
957,130.1
957,130.2
957,130.3
958,130.4
958,130.5
958,130.6
957,130.7
957,130.8
957,130.9
957,131.0
957,131.1
957,131.2
958,131.3
957,131.4
957,131.5
957,131.6
957,131.7
958,131.8
958,131.9
957,132.0
957,132.1
957,132.2
956,132.3
957,132.4
957,132.5
958,132.6
957,132.7
957,132.8
957,132.9
957,133.0
957,133.1
957,133.2
957,133.3
956,133.4
956,133.5
956,133.6
956,133.7
956,133.8
957,133.9
956,134.0
956,134.1
956,134.2
956,134.3
956,134.4
956,134.5
956,134.6
956,134.7
956,134.8
956,134.9
956,135.0
955,135.1
956,135.2
956,135.3
956,135.4
955,135.5
955,135.6
955,135.7
955,135.8
955,135.9
955,136.0
956,136.1
955,136.2
955,136.3
955,136.4
954,136.5
955,136.6
955,136.7
955,136.8
955,136.9
955,137.0
954,137.1
955,137.2
955,137.3
955,137.4
955,137.5
954,137.6
955,137.7
954,137.8
955,137.9
955,138.0
955,138.1
955,138.2
955,138.3
954,138.4
954,138.5
954,138.6
954,138.7
954,138.8
955,138.9
954,139.0
954,139.1
954,139.2
954,139.3
954,139.4
955,139.5
954,139.6
954,139.7
954,139.8
954,139.9
954,140.0
955,140.1
955,140.2
954,140.3
954,140.4
954,140.5
954,140.6
954,140.7
954,140.8
955,140.9
954,141.0
954,141.1
954,141.2
955,141.3
954,141.4
954,141.5
955,141.6
955,141.7
954,141.8
955,141.9
954,142.0
955,142.1
955,142.2
955,142.3
955,142.4
955,142.5
955,142.6
955,142.7
955,142.8
955,142.9
955,143.0
955,143.1
955,143.2
955,143.3
955,143.4
956,143.5
956,143.6
956,143.7
955,143.8
955,143.9
956,144.0
956,144.1
956,144.2
956,144.3
956,144.4
956,144.5
956,144.6
956,144.7
957,144.8
957,144.9
957,145.0
957,145.1
956,145.2
957,145.3
956,145.4
957,145.5
957,145.6
957,145.7
957,145.8
958,145.9
957,146.0
957,146.1
957,146.2
958,146.3
958,146.4
958,146.5
957,146.6
957,146.7
957,146.8
958,146.9
958,147.0
958,147.1
958,147.2
958,147.3
957,147.4
958,147.5
958,147.6
958,147.7
958,147.8
958,147.9
958,148.0
958,148.1
958,148.2
959,148.3
959,148.4
959,148.5
959,148.6
958,148.7
959,148.8
959,148.9
959,149.0
959,149.1
959,149.2
959,149.3
959,149.4
959,149.5
959,149.6
959,149.7
959,149.8
960,149.9
959,150.0
959,150.1
959,150.2
959,150.3
960,150.4
960,150.5
960,150.6
959,150.7
959,150.8
960,150.9
959,151.0
960,151.1
960,151.2
960,151.3
959,151.4
959,151.5
959,151.6
960,151.7
960,151.8
960,151.9
960,152.0
959,152.1
960,152.2
959,152.3
960,152.4
960,152.5
960,152.6
960,152.7
960,152.8
959,152.9
960,153.0
960,153.1
960,153.2
960,153.3
960,153.4
960,153.5
960,153.6
960,153.7
960,153.8
961,153.9
960,154.0
960,154.1
960,154.2
960,154.3
960,154.4
960,154.5
961,154.6
960,154.7
960,154.8
960,154.9
960,155.0
960,155.1
961,155.2
960,155.3
961,155.4
960,155.5
960,155.6
960,155.7
961,155.8
961,155.9
961,156.0
961,156.1
961,156.2
960,156.3
961,156.4
961,156.5
962,156.6
961,156.7
961,156.8
961,156.9
961,157.0
961,157.1
961,157.2
961,157.3
961,157.4
961,157.5
961,157.6
962,157.7
961,157.8
962,157.9
962,158.0
962,158.1
962,158.2
962,158.3
962,158.4
962,158.5
962,158.6
962,158.7
962,158.8
962,158.9
962,159.0
962,159.1
962,159.2
962,159.3
962,159.4
963,159.5
963,159.6
962,159.7
962,159.8
962,159.9
963,160.0
962,160.1
962,160.2
963,160.3
962,160.4
963,160.5
962,160.6
963,160.7
963,160.8
963,160.9
962,161.0
962,161.1
962,161.2
