Angle,Light Sensor
0,73
1,73
2,74
3,73
4,73
5,72
6,71
7,73
8,72
9,73
10,71
11,73
12,73
13,73
14,71
15,72
16,72
17,72
18,72
19,72
20,73
21,72
22,72
23,72
24,72
25,72
26,72
27,71
28,71
29,71
30,70
31,70
32,70
33,71
34,70
35,71
36,70
37,69
38,70
39,70
40,70
41,69
42,68
43,69
44,69
45,68
46,68
47,68
48,69
49,68
50,67
51,67
52,67
53,67
54,66
55,66
56,66
57,66
58,65
59,65
60,65
61,63
62,62
63,63
64,60
65,61
66,60
67,59
68,58
69,58
70,55
71,54
72,53
73,53
74,54
75,51
76,47
77,46
78,45
79,44
80,42
81,39
82,37
83,34
84,32
85,29
86,25
87,21
88,15
89,13
90,11
91,8
92,2
93,0
94,4
95,6
96,9
97,11
98,14
99,17
100,25
101,28
102,30
103,35
104,36
105,38
106,40
107,42
108,47
109,49
110,50
111,51
112,52
113,54
114,56
115,56
116,57
117,57
118,59
119,60
120,60
121,60
122,60
123,61
124,63
125,62
126,64
127,64
128,65
129,64
130,64
131,63
132,67
133,67
134,67
135,67
136,68
137,68
138,68
139,68
140,69
141,68
142,68
143,70
144,70
145,69
146,69
147,70
148,71
149,71
150,70
151,71
152,70
153,72
154,71
155,71
156,71
157,70
158,70
159,72
160,71
161,70
162,72
163,70
164,73
165,72
166,70
167,73
168,73
169,73
170,72
171,73
172,71
173,72
174,73
175,72
176,73
177,73
178,72
179,73
180,73
181,74
182,72
183,74
184,71
185,71
186,73
187,72
188,73
189,72
190,72
191,73
192,74
193,71
194,72
195,71
196,72
197,71
198,72
199,71
200,72
201,72
202,71
203,71
204,71
205,71
206,71
207,70
208,71
209,71
210,69
211,68
212,70
213,69
214,71
215,69
216,70
217,69
218,68
219,69
220,68
221,68
222,69
223,69
224,68
225,68
226,67
227,67
228,66
229,67
230,65
231,65
232,65
233,64
234,62
235,61
236,63
237,62
238,62
239,59
240,59
241,59
242,60
243,59
244,59
245,56
246,56
247,55
248,54
249,54
250,51
251,47
252,48
253,46
254,43
255,44
256,38
257,35
258,33
259,29
260,25
261,25
262,22
263,15
264,10
265,6
266,3
267,3
268,0
269,0
270,5
271,12
272,17
273,19
274,21
275,24
276,30
277,34
278,37
279,40
280,40
281,43
282,45
283,46
284,48
285,49
286,51
287,52
288,57
289,56
290,56
291,58
292,59
293,59
294,60
295,61
296,62
297,61
298,62
299,63
300,64
301,63
302,65
303,65
304,66
305,66
306,66
307,67
308,67
309,67
310,68
311,67
312,68
313,67
314,68
315,70
316,69
317,69
318,70
319,69
320,68
321,69
322,68
323,70
324,71
325,70
326,71
327,71
328,70
329,70
330,71
331,70
332,71
333,70
334,72
335,71
336,72
337,72
338,73
339,71
340,73
341,73
342,73
343,72
344,73
345,73
346,72
347,73
348,72
349,73
350,72
351,73
352,71
353,74
354,74
355,73
356,73
357,73
358,72
359,73
360,73
361,72
362,74
363,72
364,74
365,73
366,73
367,73
368,73
369,72
370,71
371,73
372,71
373,72
374,71
375,72
376,73
377,73
378,73
379,72
380,71
381,72
382,72
383,72
384,72
385,72
386,72
387,71
388,72
389,70
390,71
391,71
392,71
393,71
394,69
395,70
396,69
397,69
398,70
399,69
400,69
401,70
402,69
403,69
404,69
405,68
406,68
407,69
408,67
409,67
410,65
411,67
412,66
413,67
414,66
415,65
416,64
417,65
418,66
419,64
420,64
421,63
422,63
423,63
424,62
425,60
426,59
427,59
428,58
429,58
430,57
431,55
432,54
433,54
434,52
435,51
436,46
437,44
438,45
439,43
440,42
441,39
442,36
443,35
444,33
445,29
446,24
447,19
448,16
449,13
450,10
451,5
452,2
453,1
454,3
455,7
456,9
457,10
458,12
459,21
460,25
461,29
462,31
463,34
464,37
465,38
466,38
467,41
468,47
469,47
470,50
471,50
472,53
473,53
474,54
475,57
476,57
477,58
478,59
479,59
480,59
481,61
482,60
483,61
484,61
485,61
486,63
487,64
488,60
489,64
490,65
491,64
492,66
493,64
494,66
495,67
496,67
497,68
498,68
499,69
500,69
501,70
502,70
503,69
504,70
505,70
506,69
507,70
508,71
509,70
510,69
511,71
512,72
513,71
514,71
515,71
516,71
517,71
518,72
519,72
520,70
521,71
522,72
523,72
524,72
525,72
526,72
527,72
528,74
529,72
530,71
531,73
532,71
533,71
534,72
535,73
536,73
537,72
538,72
539,73
540,72
541,73
542,71
543,73
544,69
545,73
546,71
547,73
548,71
549,73
550,73
551,72
552,72
553,71
554,73
555,72
556,72
557,70
558,72
559,71
560,72
561,70
562,71
563,71
564,71
565,72
566,71
567,70
568,70
569,70
570,71
571,71
572,70
573,70
574,70
575,69
576,68
577,70
578,69
579,68
580,68
581,69
582,68
583,69
584,67
585,66
586,67
587,67
588,66
589,66
590,65
591,65
592,64
593,63
594,62
595,63
596,63
597,61
598,61
599,62
600,60
601,59
602,60
603,58
604,57
605,56
606,55
607,55
608,53
609,52
610,51
611,49
612,46
613,44
614,46
615,43
616,37
617,35
618,32
619,30
620,26
621,23
622,22
623,15
624,10
625,6
626,5
627,2
628,0
629,2
630,4
631,13
632,16
633,19
634,20
635,25
636,31
637,33
638,36
639,39
640,41
641,42
642,45
643,45
644,49
645,49
646,52
647,53
648,56
649,57
650,57
651,57
652,59
653,60
654,60
655,60
656,61
657,61
658,63
659,64
660,63
661,64
662,65
663,65
664,64
665,66
666,66
667,67
668,65
669,66
670,67
671,67
672,67
673,68
674,69
675,69
676,69
677,69
678,70
679,69
680,70
681,70
682,70
683,69
684,69
685,70
686,70
687,72
688,71
689,70
690,70
691,71
692,70
693,71
694,71
695,70
696,71
697,72
698,72
699,73
700,71
701,73
702,73
703,73
704,72
705,72
706,73
707,72
708,71
709,72
710,72
711,74
712,72
713,74
714,73
715,72
716,70
717,74
718,72
719,73
720,73
721,74
722,73
723,73
724,74
725,73
726,72
727,73
728,72
729,72
730,71
731,71
732,72
733,73
734,71
735,73
736,71
737,72
738,73
739,71
740,71
741,73
742,72
743,72
744,71
745,72
746,71
747,72
748,70
749,71
750,70
751,70
752,70
753,71
754,70
755,71
756,70
757,69
758,70
759,70
760,70
761,70
762,68
763,70
764,69
765,68
766,69
767,67
768,68
769,68
770,67
771,67
772,67
773,67
774,65
775,66
776,64
777,65
778,65
779,64
780,64
781,62
782,63
783,63
784,60
785,61
786,60
787,59
788,57
789,57
790,56
791,55
792,55
793,53
794,53
795,50
796,49
797,46
798,44
799,43
800,41
801,39
802,37
803,33
804,32
805,26
806,25
807,22
808,16
809,15
810,11
811,7
812,3
813,1
814,4
815,5
816,9
817,10
818,14
819,20
820,26
821,29
822,31
823,35
824,37
825,39
826,41
827,42
828,47
829,49
830,48
831,50
832,53
833,54
834,56
835,56
836,55
837,60
838,59
839,59
840,61
841,60
842,62
843,62
844,63
845,64
846,62
847,64
848,65
849,64
850,64
851,64
852,67
853,64
854,67
855,69
856,67
857,66
858,69
859,68
860,69
861,67
862,69
863,70
864,69
865,69
866,70
867,69
868,71
869,71
870,70
871,71
872,71
873,69
874,71
875,71
876,70
877,71
878,71
879,72
880,71
881,71
882,72
883,72
884,70
885,72
886,72
887,71
888,71
889,70
890,72
891,71
892,72
893,71
894,73
895,75
896,73
897,74
898,71
899,71
900,72
901,72
902,70
903,73
904,74
