, LightValue,time
0:00:00,985,0
0:00:00,983,0.1
0:00:00,983,0.2
0:00:00,983,0.3
0:00:00,982,0.4
0:00:00,982,0.5
0:00:00,982,0.6
0:00:00,983,0.7
0:00:00,982,0.8
0:00:00,982,0.9
0:00:00,983,1
0:00:00,982,1.1
0:00:00,982,1.2
0:00:00,982,1.3
0:00:00,982,1.4
0:00:00,982,1.5
0:00:00,982,1.6
0:00:00,981,1.7
0:00:00,982,1.8
0:00:00,982,1.9
0:00:00,982,2
0:00:00,982,2.1
0:00:00,982,2.2
0:00:00,982,2.3
0:00:00,982,2.4
0:00:00,982,2.5
0:00:00,982,2.6
0:00:00,982,2.7
0:00:00,982,2.8
0:00:00,982,2.9
0:00:00,982,3
0:00:00,982,3.1
0:00:00,982,3.2
0:00:00,982,3.3
0:00:00,982,3.4
0:00:00,982,3.5
0:00:00,982,3.6
0:00:00,981,3.7
0:00:00,982,3.8
0:00:00,982,3.9
0:00:00,982,4
0:00:00,982,4.1
0:00:00,982,4.2
0:00:00,982,4.3
0:00:00,982,4.4
0:00:00,982,4.5
0:00:00,981,4.6
0:00:00,982,4.7
0:00:00,982,4.8
0:00:00,981,4.9
0:00:00,981,5
0:00:00,982,5.1
0:00:00,982,5.2
0:00:00,982,5.3
0:00:00,982,5.4
0:00:00,982,5.5
0:00:00,982,5.6
0:00:00,981,5.7
0:00:00,981,5.8
0:00:00,981,5.9
0:00:00,982,6
0:00:00,982,6.1
0:00:00,981,6.2
0:00:00,981,6.3
0:00:00,982,6.4
0:00:00,981,6.5
0:00:00,981,6.6
0:00:00,981,6.7
0:00:00,982,6.8
0:00:00,982,6.9
0:00:00,981,7
0:00:00,981,7.1
0:00:00,982,7.2
0:00:00,981,7.3
0:00:00,981,7.4
0:00:00,981,7.5
0:00:00,981,7.6
0:00:00,981,7.7
0:00:00,981,7.8
0:00:00,981,7.9
0:00:00,981,8
0:00:00,981,8.1
0:00:00,981,8.2
0:00:00,981,8.3
0:00:00,981,8.4
0:00:00,981,8.5
0:00:00,981,8.6
0:00:00,981,8.7
0:00:00,981,8.8
0:00:00,981,8.9
0:00:00,981,9
0:00:00,981,9.1
0:00:00,981,9.2
0:00:00,981,9.3
0:00:00,981,9.4
0:00:00,981,9.5
0:00:00,981,9.6
0:00:00,981,9.7
0:00:00,981,9.8
0:00:00,981,9.9
0:00:00,981,10
0:00:00,981,10.1
0:00:00,981,10.2
0:00:00,981,10.3
0:00:00,981,10.4
0:00:00,981,10.5
0:00:00,981,10.6
0:00:00,981,10.7
0:00:00,981,10.8
0:00:00,981,10.9
0:00:00,981,11
0:00:00,981,11.1
0:00:00,981,11.2
0:00:00,981,11.3
0:00:00,980,11.4
0:00:00,981,11.5
0:00:00,981,11.6
0:00:00,981,11.7
0:00:00,981,11.8
0:00:00,981,11.9
0:00:00,981,12
0:00:00,981,12.1
0:00:00,981,12.2
0:00:00,981,12.3
0:00:00,981,12.4
0:00:00,981,12.5
0:00:00,981,12.6
0:00:00,981,12.7
0:00:00,981,12.8
0:00:00,981,12.9
0:00:00,981,13
0:00:00,981,13.1
0:00:00,981,13.2
0:00:00,981,13.3
0:00:00,981,13.4
0:00:00,981,13.5
0:00:00,981,13.6
0:00:00,981,13.7
0:00:00,981,13.8
0:00:00,981,13.9
0:00:00,981,14
0:00:00,981,14.1
0:00:00,981,14.2
0:00:00,981,14.3
0:00:00,982,14.4
0:00:00,981,14.5
0:00:00,981,14.6
0:00:00,981,14.7
0:00:00,981,14.8
0:00:00,981,14.9
0:00:00,981,15
0:00:00,982,15.1
0:00:00,981,15.2
0:00:00,981,15.3
0:00:00,981,15.4
0:00:00,981,15.5
0:00:00,981,15.6
0:00:00,981,15.7
0:00:00,981,15.8
0:00:00,981,15.9
0:00:00,981,16
0:00:00,982,16.1
0:00:00,981,16.2
0:00:00,981,16.3
0:00:00,981,16.4
0:00:00,981,16.5
0:00:00,981,16.6
0:00:00,981,16.7
0:00:00,981,16.8
0:00:00,981,16.9
0:00:00,981,17
0:00:00,982,17.1
0:00:00,981,17.2
0:00:00,981,17.3
0:00:00,981,17.4
0:00:00,981,17.5
0:00:00,981,17.6
0:00:00,981,17.7
0:00:00,982,17.8
0:00:00,981,17.9
0:00:00,982,18
0:00:00,981,18.1
0:00:00,981,18.2
0:00:00,981,18.3
0:00:00,981,18.4
0:00:00,982,18.5
0:00:00,981,18.6
0:00:00,982,18.7
0:00:00,981,18.8
0:00:00,981,18.9
0:00:00,981,19
0:00:00,981,19.1
0:00:00,982,19.2
0:00:00,982,19.3
0:00:00,982,19.4
0:00:00,981,19.5
0:00:00,981,19.6
0:00:00,981,19.7
0:00:00,981,19.8
0:00:00,981,19.9
0:00:00,981,20
0:00:00,981,20.1
0:00:00,981,20.2
0:00:00,981,20.3
0:00:00,981,20.4
0:00:00,981,20.5
0:00:00,982,20.6
0:00:00,981,20.7
0:00:00,981,20.8
0:00:00,981,20.9
0:00:00,981,21
0:00:00,981,21.1
0:00:00,981,21.2
0:00:00,981,21.3
0:00:00,981,21.4
0:00:00,981,21.5
0:00:00,981,21.6
0:00:00,981,21.7
0:00:00,981,21.8
0:00:00,981,21.9
0:00:00,981,22
0:00:00,982,22.1
0:00:00,981,22.2
0:00:00,981,22.3
0:00:00,981,22.4
0:00:00,981,22.5
0:00:00,981,22.6
0:00:00,981,22.7
0:00:00,982,22.8
0:00:00,981,22.9
0:00:00,981,23
0:00:00,982,23.1
0:00:00,981,23.2
0:00:00,981,23.3
0:00:00,981,23.4
0:00:00,981,23.5
0:00:00,981,23.6
0:00:00,981,23.7
0:00:00,981,23.8
0:00:00,982,23.9
0:00:00,981,24
0:00:00,981,24.1
0:00:00,981,24.2
0:00:00,982,24.3
0:00:00,981,24.4
0:00:00,981,24.5
0:00:00,981,24.6
0:00:00,982,24.7
0:00:00,981,24.8
0:00:00,982,24.9
0:00:00,981,25
0:00:00,982,25.1
0:00:00,981,25.2
0:00:00,982,25.3
0:00:00,981,25.4
0:00:00,982,25.5
0:00:00,982,25.6
0:00:00,982,25.7
0:00:00,982,25.8
0:00:00,981,25.9
0:00:00,982,26
0:00:00,982,26.1
0:00:00,982,26.2
0:00:00,982,26.3
0:00:00,981,26.4
0:00:00,981,26.5
0:00:00,982,26.6
0:00:00,982,26.7
0:00:00,982,26.8
0:00:00,982,26.9
0:00:00,982,27
0:00:00,982,27.1
0:00:00,981,27.2
0:00:00,982,27.3
0:00:00,981,27.4
0:00:00,982,27.5
0:00:00,982,27.6
0:00:00,982,27.7
0:00:00,982,27.8
0:00:00,982,27.9
0:00:00,981,28
0:00:00,982,28.1
0:00:00,982,28.2
0:00:00,982,28.3
0:00:00,982,28.4
0:00:00,982,28.5
0:00:00,982,28.6
0:00:00,982,28.7
0:00:00,982,28.8
0:00:00,982,28.9
0:00:00,982,29
0:00:00,982,29.1
0:00:00,982,29.2
0:00:00,982,29.3
0:00:00,982,29.4
0:00:00,982,29.5
0:00:00,982,29.6
0:00:00,982,29.7
0:00:00,982,29.8
0:00:00,982,29.9
0:00:00,982,30
0:00:00,982,30.1
0:00:00,982,30.2
0:00:00,983,30.3
0:00:00,982,30.4
0:00:00,982,30.5
0:00:00,982,30.6
0:00:00,982,30.7
0:00:00,982,30.8
0:00:00,982,30.9
0:00:00,982,31
0:00:00,982,31.1
0:00:00,982,31.2
0:00:00,982,31.3
0:00:00,982,31.4
0:00:00,982,31.5
0:00:00,982,31.6
0:00:00,982,31.7
0:00:00,982,31.8
0:00:00,982,31.9
0:00:00,982,32
0:00:00,982,32.1
0:00:00,982,32.2
0:00:00,982,32.3
0:00:00,982,32.4
0:00:00,983,32.5
0:00:00,982,32.6
0:00:00,982,32.7
0:00:00,982,32.8
0:00:00,982,32.9
0:00:00,982,33
0:00:00,982,33.1
0:00:00,982,33.2
0:00:00,982,33.3
0:00:00,982,33.4
0:00:00,982,33.5
0:00:00,982,33.6
0:00:00,982,33.7
0:00:00,982,33.8
0:00:00,982,33.9
0:00:00,982,34
0:00:00,982,34.1
0:00:00,981,34.2
0:00:00,982,34.3
0:00:00,982,34.4
0:00:00,982,34.5
0:00:00,982,34.6
0:00:00,981,34.7
0:00:00,981,34.8
0:00:00,981,34.9
0:00:00,982,35
0:00:00,981,35.1
0:00:00,981,35.2
0:00:00,982,35.3
0:00:00,981,35.4
0:00:00,982,35.5
0:00:00,981,35.6
0:00:00,981,35.7
0:00:00,981,35.8
0:00:00,982,35.9
0:00:00,982,36
0:00:00,982,36.1
0:00:00,981,36.2
0:00:00,981,36.3
0:00:00,981,36.4
0:00:00,981,36.5
0:00:00,982,36.6
0:00:00,982,36.7
0:00:00,981,36.8
0:00:00,981,36.9
0:00:00,981,37
0:00:00,981,37.1
0:00:00,981,37.2
0:00:00,982,37.3
0:00:00,981,37.4
0:00:00,982,37.5
0:00:00,981,37.6
0:00:00,981,37.7
0:00:00,981,37.8
0:00:00,982,37.9
0:00:00,981,38
0:00:00,982,38.1
0:00:00,981,38.2
0:00:00,981,38.3
0:00:00,981,38.4
0:00:00,982,38.5
0:00:00,982,38.6
0:00:00,982,38.7
0:00:00,982,38.8
0:00:00,981,38.9
0:00:00,981,39
0:00:00,981,39.1
0:00:00,981,39.2
0:00:00,982,39.3
0:00:00,981,39.4
0:00:00,981,39.5
0:00:00,981,39.6
0:00:00,981,39.7
0:00:00,981,39.8
0:00:00,981,39.9
0:00:00,981,40
0:00:00,982,40.1
0:00:00,981,40.2
0:00:00,981,40.3
0:00:00,981,40.4
0:00:00,981,40.5
0:00:00,981,40.6
0:00:00,982,40.7
0:00:00,981,40.8
0:00:00,981,40.9
0:00:00,981,41
0:00:00,981,41.1
0:00:00,981,41.2
0:00:00,981,41.3
0:00:00,981,41.4
0:00:00,981,41.5
0:00:00,981,41.6
0:00:00,981,41.7
0:00:00,981,41.8
0:00:00,981,41.9
0:00:00,981,42
0:00:00,982,42.1
0:00:00,982,42.2
0:00:00,981,42.3
0:00:00,981,42.4
0:00:00,981,42.5
0:00:00,981,42.6
0:00:00,981,42.7
0:00:00,981,42.8
0:00:00,982,42.9
0:00:00,981,43
0:00:00,981,43.1
0:00:00,981,43.2
0:00:00,981,43.3
0:00:00,981,43.4
0:00:00,981,43.5
0:00:00,981,43.6
0:00:00,981,43.7
0:00:00,981,43.8
0:00:00,981,43.9
0:00:00,981,44
0:00:00,981,44.1
0:00:00,981,44.2
0:00:00,981,44.3
0:00:00,981,44.4
0:00:00,981,44.5
0:00:00,981,44.6
0:00:00,981,44.7
0:00:00,981,44.8
0:00:00,981,44.9
0:00:00,981,45
0:00:00,981,45.1
0:00:00,981,45.2
0:00:00,981,45.3
0:00:00,981,45.4
0:00:00,981,45.5
0:00:00,981,45.6
0:00:00,981,45.7
0:00:00,981,45.8
0:00:00,981,45.9
0:00:00,981,46
0:00:00,981,46.1
0:00:00,981,46.2
0:00:00,981,46.3
0:00:00,981,46.4
0:00:00,981,46.5
0:00:00,981,46.6
0:00:00,981,46.7
0:00:00,981,46.8
0:00:00,981,46.9
0:00:00,981,47
0:00:00,981,47.1
0:00:00,981,47.2
0:00:00,981,47.3
0:00:00,981,47.4
0:00:00,981,47.5
0:00:00,981,47.6
0:00:00,981,47.7
0:00:00,981,47.8
0:00:00,981,47.9
0:00:00,981,48
0:00:00,981,48.1
0:00:00,981,48.2
0:00:00,981,48.3
0:00:00,982,48.4
0:00:00,981,48.5
0:00:00,981,48.6
0:00:00,981,48.7
0:00:00,981,48.8
0:00:00,981,48.9
0:00:00,981,49
0:00:00,981,49.1
0:00:00,981,49.2
0:00:00,981,49.3
0:00:00,981,49.4
0:00:00,981,49.5
0:00:00,981,49.6
0:00:00,981,49.7
0:00:00,982,49.8
0:00:00,981,49.9
0:00:00,981,50
0:00:00,981,50.1
0:00:00,981,50.2
0:00:00,981,50.3
0:00:00,982,50.4
0:00:00,982,50.5
0:00:00,981,50.6
0:00:00,981,50.7
0:00:00,981,50.8
0:00:00,981,50.9
0:00:00,982,51
0:00:00,982,51.1
0:00:00,982,51.2
0:00:00,981,51.3
0:00:00,981,51.4
0:00:00,982,51.5
0:00:00,982,51.6
0:00:00,982,51.7
0:00:00,982,51.8
0:00:00,982,51.9
0:00:00,981,52
0:00:00,981,52.1
0:00:00,982,52.2
0:00:00,982,52.3
0:00:00,982,52.4
0:00:00,982,52.5
0:00:00,982,52.6
0:00:00,981,52.7
0:00:00,981,52.8
0:00:00,981,52.9
0:00:00,982,53
0:00:00,981,53.1
0:00:00,981,53.2
0:00:00,982,53.3
0:00:00,982,53.4
0:00:00,981,53.5
0:00:00,981,53.6
0:00:00,981,53.7
0:00:00,982,53.8
0:00:00,982,53.9
0:00:00,982,54
0:00:00,981,54.1
0:00:00,981,54.2
0:00:00,981,54.3
0:00:00,981,54.4
0:00:00,981,54.5
0:00:00,982,54.6
0:00:00,982,54.7
0:00:00,981,54.8
0:00:00,981,54.9
0:00:00,981,55
0:00:00,981,55.1
0:00:00,981,55.2
0:00:00,982,55.3
